Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1608876000000.00,8326,8249,8118,24693
1608897600000.00,-45,-45,-22,-112
1608919200000.00,-48,-45,-24,-117
1608940800000.00,-47,-45,-23,-115
1608962400000.00,5777,5737,5634,17148
1608984000000.00,-48,-45,-22,-115
1609005600000.00,-90,-58,0,-148
1609027200000.00,-47,-45,-23,-115
1609048800000.00,1029,1031,1024,3084
1609070400000.00,-48,-46,-22,-116
1609092000000.00,-84,-60,-14,-158
1609113600000.00,-47,-46,-22,-115
1609135200000.00,3959,3920,3863,11742
1609156800000.00,8,-36,-73,-101
1609178400000.00,-102,-54,30,-126
1609200000000.00,-46,-45,-23,-114
1609221600000.00,3255,3218,3184,9657
1609243200000.00,-46,-46,-22,-114
1609264800000.00,-46,-44,-24,-114
1609286400000.00,-46,-44,-22,-112
1609308000000.00,8477,8443,8364,25284
1609329600000.00,-48,-46,-20,-114
1609351200000.00,-46,-45,-24,-115
1609372800000.00,-44,-43,-24,-111
1609394400000.00,12269,12187,11937,36393
1609416000000.00,-46,-43,-22,-111
1609437600000.00,-46,-45,-25,-116
1609459200000.00,-45,-44,-24,-113
1609480800000.00,10720,10640,10486,31846
1609502400000.00,-43,-43,-25,-111
1609524000000.00,-47,-45,-24,-116
1609545600000.00,-95,-55,12,-138
1609567200000.00,6100,6019,5833,17952
1609588800000.00,-94,-57,12,-139
1609610400000.00,-45,-45,-25,-115
1609632000000.00,-46,-45,-23,-114
1609653600000.00,2808,2764,2649,8221
1609675200000.00,-93,-57,10,-140
1609696800000.00,-47,-45,-24,-116
1609718400000.00,-46,-45,-24,-115
1609740000000.00,1260,1251,1245,3756
1609761600000.00,-48,-45,-22,-115
1609783200000.00,-46,-44,-23,-113
1609804800000.00,-46,-43,-25,-114
1609826400000.00,1341,1334,1330,4005
1609848000000.00,-96,-57,15,-138
1609869600000.00,-95,-56,11,-140
1609891200000.00,-96,-58,13,-141
1609912800000.00,4752,4729,4637,14118
1609934400000.00,-44,-44,-26,-114
1609956000000.00,-46,-46,-23,-115
1609977600000.00,-44,-43,-25,-112
1609999200000.00,5408,5363,5268,16039
1610020800000.00,-46,-45,-24,-115
1610042400000.00,-46,-43,-23,-112
1610064000000.00,-45,-43,-24,-112
1610085600000.00,10460,10391,10168,31019
1610107200000.00,-95,-56,12,-139
1610128800000.00,-44,-45,-26,-115
1610150400000.00,-45,-45,-24,-114
1610172000000.00,12072,11994,11915,35981
1610193600000.00,-46,-45,-25,-116
1610215200000.00,-44,-45,-26,-115
1610236800000.00,-45,-43,-24,-112
1610258400000.00,4911,4898,4897,14706
1610280000000.00,-45,-44,-24,-113
1610301600000.00,-95,-55,12,-138
1610323200000.00,-45,-44,-24,-113
1610344800000.00,5352,5297,5207,15856
1610366400000.00,-45,-45,-24,-114
1610388000000.00,-46,-45,-23,-114
1610409600000.00,-47,-46,-23,-116
1610431200000.00,5198,5193,5175,15566
1610452800000.00,-44,-45,-24,-113
1610474400000.00,-48,-46,-24,-118
1610496000000.00,4,-33,-59,-88
1610517600000.00,3095,3066,3021,9182
1610539200000.00,-48,-45,-21,-114
1610560800000.00,-45,-44,-24,-113
1610582400000.00,-45,-44,-25,-114
1610604000000.00,498,489,509,1496
1610625600000.00,-46,-44,-24,-114
1610647200000.00,-46,-45,-24,-115
1610668800000.00,-47,-45,-22,-114
1610690400000.00,503,492,507,1502
1610712000000.00,-95,-56,13,-138
1610733600000.00,-95,-56,12,-139
1610755200000.00,-79,-58,-25,-162
1610776800000.00,247,236,254,737
1610798400000.00,-44,-45,-25,-114
1610820000000.00,-46,-46,-23,-115
1610841600000.00,-46,-43,-23,-112
1610863200000.00,1851,1831,1818,5500
1610884800000.00,-45,-45,-23,-113
1610906400000.00,-95,-56,14,-137
1610928000000.00,-44,-44,-24,-112
1610949600000.00,8746,8678,8501,25925
1610971200000.00,-45,-45,-24,-114
1610992800000.00,-97,-56,13,-140
1611014400000.00,-44,-44,-24,-112
1611036000000.00,2076,2057,2032,6165
1611057600000.00,-96,-55,11,-140
1611079200000.00,-47,-44,-23,-114
1611100800000.00,-45,-45,-24,-114
1611122400000.00,8383,8307,8158,24848
1611144000000.00,-43,-44,-31,-118
1611165600000.00,-96,-57,13,-140
1611187200000.00,-45,-44,-24,-113
